+------------------------------------+--------+---------+--------------------+
| Material List for schematic 'Clash of Clans Base TH11 V6' (1 of 1 regions) |
+------------------------------------+--------+---------+--------------------+
| Item                               |  Total | Missing |          Available |
| Warped Stairs                      |     26 |      26 |                  0 |
| Bee Nest                           |     24 |      24 |                  0 |
| Dark Oak Trapdoor                  |     24 |      24 |                  0 |
| Nether Brick Slab                  |     24 |      24 |                  0 |
| Oak Stairs                         |     23 |      23 |                  0 |
| Blue Ice                           |     22 |      22 |                  0 |
| Lantern                            |     21 |      21 |                  0 |
| Andesite Stairs                    |     20 |      20 |                  0 |
| Stripped Oak Wood                  |     20 |      20 |                  0 |
| Light Blue Concrete                |     18 |      18 |                  0 |
| Sandstone Stairs                   |     18 |      18 |                  0 |
| Bell                               |     16 |      16 |                  0 |
| Black Terracotta                   |     16 |      16 |                  0 |
| Deepslate Brick Slab               |     16 |      16 |                  0 |
| Jungle Log                         |     16 |      16 |                  0 |
| Light Gray Concrete Powder         |     16 |      16 |                  0 |
| Polished Andesite Slab             |     16 |      16 |                  0 |
| Polished Blackstone Brick Wall     |     16 |      16 |                  0 |
| Infested Stone Bricks              |     14 |      14 |                  0 |
| Light Blue Stained Glass Pane      |     14 |      14 |                  0 |
| Stripped Spruce Wood               |     14 |      14 |                  0 |
| Tripwire Hook                      |     14 |      14 |                  0 |
| Gray Stained Glass Pane            |     12 |      12 |                  0 |
| Oak Planks                         |     12 |      12 |                  0 |
| Oak Sign                           |     12 |      12 |                  0 |
| Polished Blackstone Wall           |     12 |      12 |                  0 |
| Skeleton Skull                     |     12 |      12 |                  0 |
| Warped Hyphae                      |     11 |      11 |                  0 |
| Brown Carpet                       |     10 |      10 |                  0 |
| Brown Stained Glass Pane           |     10 |      10 |                  0 |
| Magenta Wool                       |     10 |      10 |                  0 |
| Polished Diorite Slab              |     10 |      10 |                  0 |
| Chest                              |      9 |       9 |                  0 |
| Red Bed                            |      9 |       9 |                  0 |
| Target                             |      9 |       9 |                  0 |
| Anvil                              |      8 |       8 |                  0 |
| Block of Diamond                   |      8 |       8 |                  0 |
| Cobbled Deepslate Wall             |      8 |       8 |                  0 |
| Oak Slab                           |      8 |       8 |                  0 |
| Orange Stained Glass Pane          |      8 |       8 |                  0 |
| Spruce Trapdoor                    |      8 |       8 |                  0 |
| Coarse Dirt                        |      7 |       7 |                  0 |
| Cobblestone Stairs                 |      7 |       7 |                  0 |
| Cyan Stained Glass                 |      7 |       7 |                  0 |
| Flower Pot                         |      7 |       7 |                  0 |
| Hopper                             |      7 |       7 |                  0 |
| Stone Stairs                       |      6 |       6 |                  0 |
| Stonecutter                        |      6 |       6 |                  0 |
| Crafting Table                     |      5 |       5 |                  0 |
| Enchanting Table                   |      5 |       5 |                  0 |
| Furnace                            |      5 |       5 |                  0 |
| Gray Concrete Powder               |      5 |       5 |                  0 |
| Prismarine Wall                    |      5 |       5 |                  0 |
| Birch Trapdoor                     |      4 |       4 |                  0 |
| Deepslate                          |      4 |       4 |                  0 |
| Purple Stained Glass               |      4 |       4 |                  0 |
| Sandstone Wall                     |      4 |       4 |                  0 |
| Smoker                             |      4 |       4 |                  0 |
| Stripped Crimson Stem              |      4 |       4 |                  0 |
| Grindstone                         |      3 |       3 |                  0 |
| Lever                              |      3 |       3 |                  0 |
| Basalt                             |      2 |       2 |                  0 |
| Blackstone Wall                    |      2 |       2 |                  0 |
| Blast Furnace                      |      2 |       2 |                  0 |
| Cut Sandstone Slab                 |      2 |       2 |                  0 |
| Dark Oak Sign                      |      2 |       2 |                  0 |
| Deepslate Lapis Lazuli Ore         |      2 |       2 |                  0 |
| Diorite Wall                       |      2 |       2 |                  0 |
| Lectern                            |      2 |       2 |                  0 |
| Lodestone                          |      2 |       2 |                  0 |
| Magma Block                        |      2 |       2 |                  0 |
| Redstone Torch                     |      2 |       2 |                  0 |
| Respawn Anchor                     |      2 |       2 |                  0 |
| Smithing Table                     |      2 |       2 |                  0 |
| Smooth Sandstone Slab              |      2 |       2 |                  0 |
| Black Bed                          |      1 |       1 |                  0 |
| Chiseled Polished Blackstone       |      1 |       1 |                  0 |
| Dark Oak Fence                     |      1 |       1 |                  0 |
| Light Blue Stained Glass           |      1 |       1 |                  0 |
| Lime Concrete Powder               |      1 |       1 |                  0 |
| Soul Campfire                      |      1 |       1 |                  0 |
| Soul Lantern                       |      1 |       1 |                  0 |
| Stone Pressure Plate               |      1 |       1 |                  0 |
| Warped Button                      |      1 |       1 |                  0 |
+------------------------------------+--------+---------+--------------------+
| Item                               |  Total | Missing |          Available |
+------------------------------------+--------+---------+--------------------+
